CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB
2022,9,73181500,10,63,RS,7,1017503,14000,14000,85159
2022,5,44091000,16,249,PR,1,927700,15284,7409550,22854687
2022,6,59090000,10,63,SP,4,817700,6,6,4348
2022,12,70091000,10,345,SP,1,817800,2,2,270
2022,10,18069000,10,351,MA,1,317903,62,62,402
2022,10,8071100,10,573,SC,1,927800,30,30,20
2022,8,68159990,10,586,SP,4,817700,0,0,5
2022,10,8061000,10,267,PR,1,917800,10,10,24
2022,11,84149033,11,521,SP,1,817800,4,10,101
2022,5,34029039,10,163,PR,1,917800,12,12,38
2022,3,85411022,11,160,SP,4,817600,30000,1,942
2022,3,28363000,10,399,PR,4,817600,52,52,368
2022,3,87085099,10,23,SP,4,817700,20,22,753
2022,1,39269010,10,317,SP,1,817800,0,0,24
2022,7,84339090,10,63,MG,7,1017503,1193,1193,7860
2022,10,40091290,10,63,SP,7,1017503,1233,1233,88503
2022,4,8045010,10,573,SP,4,817600,4221,4221,8380
2022,12,8071900,10,375,RN,1,317900,225014,225014,141573
2022,12,85122011,11,647,SP,4,817600,10,19,1230
2022,4,82054000,10,97,RS,7,147600,1400,1400,13986
2022,1,84159090,10,63,SP,7,1017503,11957,11957,194701
2022,6,18040000,21,63,BA,1,517800,165,165000,881513
2022,1,73072200,10,361,SC,4,817600,28,28,312
2022,12,73209000,10,158,SC,4,817700,12,12,486
2022,4,33011300,10,63,RJ,7,1017500,179,179,4161
2022,3,44072990,16,361,MT,1,917800,2167,1943653,1093971
2022,10,70191900,10,249,SP,1,817800,1220,1220,16760
2022,10,49111090,10,97,MG,7,147600,57,57,10
2022,5,19053100,10,301,RJ,1,717800,33,33,87
2022,5,94051110,10,337,SP,4,817700,1,1,218
2022,1,8105000,10,580,ES,1,727600,43,43,156
2022,10,84799090,10,239,SC,4,817700,800,800,21751
2022,1,73182100,10,169,SP,1,817800,301,301,14743
2022,9,84139190,10,586,SP,7,917500,4164,4164,170171
2022,3,53050090,10,493,BA,1,517800,26000,26000,42120
2022,3,68029100,10,438,ES,1,717600,116883,116883,24622
2022,8,87089990,10,386,SP,4,817700,3,3,7473
2022,1,38249929,10,63,SP,1,817800,6510,6510,21701
2022,11,71171900,10,275,RS,4,817600,0,0,237
2022,5,87087010,11,63,SP,7,1017504,9,592,5282
2022,6,7032090,10,580,PR,1,917800,102,102,513
2022,1,21041011,10,628,MA,1,317903,7,7,30
2022,2,84213990,11,586,SC,7,917500,54,262,2691
2022,9,84149039,10,247,SP,1,817800,872,872,7561
2022,2,84839000,10,158,SP,4,817700,4232,4232,79007
2022,6,49029000,10,245,SP,1,817800,1241,1241,3103
2022,4,85015210,11,586,SP,7,917500,36,9734,111555
2022,5,84099930,11,158,PR,4,817700,6,18,393
2022,2,4012010,10,434,SC,1,927700,516,516,474
2022,9,10059010,10,493,MT,1,217800,167535945,167535945,45976450
2022,2,12019000,21,267,SP,1,917800,150,150170,80151
2022,9,84818019,11,244,SP,1,817800,150,22,321
2022,1,61046200,11,154,PR,4,817600,28,13,539
2022,2,40161010,10,249,MG,4,817600,57,45,525
2022,10,95069900,11,845,RS,7,1017701,5428,14119,97226
2022,4,28181090,10,386,SP,1,817800,81500,81500,89656
2022,7,87087010,11,317,RS,1,927800,66,4100,29502
2022,3,90328989,11,589,SP,4,817600,12,6,8539
2022,6,84213990,11,239,SP,1,817800,3705,6447,41857
2022,1,34021190,10,169,SP,4,817700,1202,1202,5444
2022,10,84818095,11,586,PR,7,917500,7343,826,6943
2022,11,29232000,10,63,RS,7,1017500,17600,17600,63146
2022,3,27129000,10,845,SP,7,1010252,784,784,500
2022,8,73269090,10,776,GO,1,817800,677362,677362,817311
2022,3,84833010,11,63,SP,7,1017500,80,5,1073
2022,2,68118200,10,586,PR,15,917500,122979,122979,29696
2022,12,2109911,10,573,SC,1,927800,1756935,1756935,5039684
2022,1,84198999,11,40,RJ,1,817800,4,120,155
2022,2,41141000,15,149,RS,1,1017700,2819,2859,33152
2022,3,90328929,11,63,SP,4,817700,37,6,1413
2022,1,7096000,10,767,PA,1,217800,30,30,193
2022,4,48025610,10,845,SP,7,1010252,50118,50118,45106
2022,6,48101999,10,63,SP,7,917500,907993,907993,1144555
2022,11,96033000,11,586,RS,7,917500,708,32,992
2022,12,8025100,10,741,SP,1,817800,5,5,174
2022,10,8071900,10,43,SP,1,817800,73,73,114
2022,10,19053100,10,77,SP,1,817800,67,67,274
2022,5,12019000,21,372,MG,1,817800,53333,53323002,34587746
2022,11,73181500,10,23,SP,1,817800,4451,4451,42536
2022,7,38089419,10,63,SP,7,1017500,44251,44251,208924
2022,11,39263000,10,586,RS,7,917500,1027,1027,12994
2022,4,73202010,10,589,SP,4,817600,8,2,1346
2022,12,16024900,10,77,RS,1,1017800,22,22,96
2022,3,96035000,11,275,SP,1,817800,85,10,923
2022,1,70091000,10,63,MG,7,1017500,1942,1943,47842
2022,5,30049099,10,158,SP,4,817700,4451,4451,451989
2022,11,87082992,11,589,SP,1,817800,282,330,7596
2022,7,19012000,10,249,SP,1,817800,94405,94405,99139
2022,12,39169090,10,586,RS,7,917500,1712,1712,10139
2022,9,48025599,10,493,SP,1,817800,6093,6093,11247
